659,338
661,345
663,351
665,357
666,362
668,366
670,370
671,374
674,378
676,383
677,388
681,396
685,403
689,410
691,417
693,423
696,427
697,431
699,435
700,436
701,437
702,438
703,439
703,440
703,441
703,441
703,442
703,442
703,442
703,443
702,443
702,444
702,444
702,445
702,446
702,447
702,447
702,448
702,449
702,450
702,451
702,452
702,453
703,454
703,455
703,456
703,457
703,458
703,459
703,460
703,461
703,463
703,464
704,465
704,466
704,468
704,469
704,470
704,472
704,473
705,474
705,476
705,477
705,479
705,480
705,482
706,483
706,485
706,486
706,488
706,490
707,492
707,493
707,495
707,497
707,499
707,500
708,502
708,504
708,506
708,508
708,510
709,512
709,514
709,517
709,519
709,521
710,523
710,525
710,528
710,530
711,533
711,535
711,537
711,540
711,543
712,545
712,548
712,550
712,553
712,556
713,559
713,562
713,564
713,567
713,570
714,573
714,576
714,580
714,583
714,586
715,589
715,592
715,596
715,599
715,602
715,606
716,609
716,613
716,616
716,620
716,623
716,627
716,630
717,634
717,638
717,641
717,645
717,649
717,653
717,656
717,660
717,664
717,668
717,672
717,676
717,680
717,683
717,687
718,691
718,695
718,699
718,703
718,707
718,711
717,715
717,719
717,723
717,727
717,731
717,735
717,739
717,742
717,746
717,750
717,754
717,758
717,762
717,766
717,770
717,774
717,778
717,782
716,786
716,790
716,794
716,798
716,802
716,806
716,810
716,814
716,818
716,822
716,826
716,831
715,835
715,839
715,844
715,848
715,853
715,858
715,862
715,867
715,872
715,877
715,882
715,888
715,893
715,899
715,905
715,911
715,917
715,923
715,930
715,937
715,944
715,952
715,959
715,965
715,970
